বাস,যাত্রা শুরু,Schedule,কাউন্টার,সুপারভাইজার,Call,Start,End
সারাহ-মনি এক্সপ্রেস,ঝিনাইগাতী,সকাল ৮:১০,01709142073,01709142071,সকাল,Jhinaigati,Dhaka
অবকাশ এক্সপ্রেস,ঝিনাইগাতী,সকাল ৯:০০,01715260194,01734272956,সকাল,Jhinaigati,Dhaka
ঝিনাইগাতী এক্সপ্রেস,ঝিনাইগাতী,সকাল ১০:১০,01946200280,01946200301,সকাল,Jhinaigati,Dhaka
তাকিফ,ঝিনাইগাতী,সকাল ১২:৩০,01778522780,01778522780,সকাল,Jhinaigati,Dhaka
সিমিন,ঝিনাইগাতী,দুপুর ২:০০,01730589081,01777376837,দুপুর,Jhinaigati,Dhaka
মোরাদ মহিমা,পাইকুড়া,রাত ৯:০০,01725739728,01725131692,রাত,Jhinaigati,Dhaka
সিয়াম,ঝিনাইগাতী,রাত ১০:৩০,,01974021229,রাত,Jhinaigati,Dhaka
অবকাশ এক্সপ্রেস,ঝিনাইগাতী,রাত ১০:৩০,01715260194,01778153756,রাত,Jhinaigati,Dhaka
এস এম এক্সপ্রেস,ঝিনাইগাতী,রাত ১০:৩০,01709142073,01944054560,রাত,Jhinaigati,Dhaka
সিমিন,ঝিনাইগাতী,রাত ১১:০০,01730589081,01703258282,রাত,Jhinaigati,Dhaka
নূরজাহান,তিনানী,রাত ১১:০০,01325542295,01325542296,রাত,Jhinaigati,Dhaka
শাহীমণি,ভায়াডাঙ্গা,সকাল ৬:৪০,,01977353408,সকাল,Sreebordi,Dhaka
শ্রীবর্দী .. বণিক সমিতি,ভায়াডাঙ্গা,সকাল ৭:০০,,01718148578,সকাল,Sreebordi,Dhaka
নাঈম,ভায়াডাঙ্গা,সকাল ৭:০০,,01791797747,সকাল,Sreebordi,Dhaka
মোরাদ মহিমা ,ভায়াডাঙ্গা,সকাল ৭:১০,,01701416640,সকাল,Sreebordi,Dhaka
জাবির,ভায়াডাঙ্গা,সকাল ১০:০০,,01904992500,সকাল,Sreebordi,Dhaka
সরকার,ভায়াডাঙ্গা,রাত ৯:০০,01956780247,01840644867,রাত,Sreebordi,Dhaka
মোজাদ্দেদীয়া,ভায়াডাঙ্গা,রাত ৯:২০,,01733119609,রাত,Sreebordi,Dhaka
মিম,ভায়াডাঙ্গা,রাত ৯:২০,,01776948134,রাত,Sreebordi,Dhaka
মমতা,ভায়াডাঙ্গা,রাত ৯:২০,,01766526070,রাত,Sreebordi,Dhaka
শাহীমণি,দক্ষিণখান,দুপুর ২:১৫,,01977353408,দুপুর,Dhaka,Sreebordi
শ্রীবর্দী .. বণিক সমিতি,মহাখালী,দুপুর ২:০০,,01718148578,দুপুর,Dhaka,Sreebordi
নাঈম,দক্ষিণখান,রাত ৯:২০,,01791797747,রাত,Dhaka,Sreebordi
মোরাদ মহিমা ,মহাখালী,দুপুর ৩:০০,,01701416640,দুপুর,Dhaka,Sreebordi
জাবির,মহাখালী,রাত ১১:৪৫,,01904992500,রাত,Dhaka,Sreebordi
সরকার,মহাখালী,ভোর ৫:২০,01956780247,01840644867,ভোর,Dhaka,Sreebordi
মোজাদ্দেদীয়া,মহাখালী,ভোর ৫:০০,,01733119609,ভোর,Dhaka,Sreebordi
মিম,মহাখালী,ভোর ৫:৩০,,01776948134,ভোর,Dhaka,Sreebordi
মমতা,মহাখালী,ভোর ৫:০০,,01766526070,ভোর,Dhaka,Sreebordi
